timestamp,sequence,temp_core,temp_ambient,voltage_in,current_draw,fan_rpm,cpu_load,label,fault_id
1754212345678,0,23.450000000000003,23.5,12.16,0.98,903,45.2,normal,
1754212345778,1,23.6,23.5,12.16,1.01,903,45.300000000000004,normal,
1754212345878,2,23.700000000000003,23.5,12.15,1.02,894,45.5,normal,
1754212345978,3,23.8,23.5,12.15,1.02,908,45.2,normal,
1754212346078,4,23.900000000000002,23.5,12.16,1.03,893,45.900000000000006,normal,
1754212346178,5,24.1,23.5,12.17,1.03,899,46,normal,
1754212346278,6,24.1,23.5,12.15,1.06,893,46.1,normal,
1754212346378,7,24.3,23.55,12.15,1.04,903,46.5,normal,
1754212346478,8,24.400000000000002,23.5,12.15,1.05,895,46.1,normal,
1754212346578,9,24.400000000000002,23.5,12.16,1.05,893,46.7,normal,
1754212346678,10,24.5,23.5,12.15,1.05,902,46.800000000000004,normal,
1754212346778,11,24.650000000000002,23.5,12.15,1.03,903,47.400000000000006,normal,
1754212346878,12,24.8,23.5,12.15,1.05,900,47.300000000000004,normal,
1754212346978,13,24.900000000000002,23.5,12.15,1.06,902,48.2,normal,
1754212347078,14,25.05,23.5,12.14,1.06,899,48.2,normal,
1754212347178,15,25.200000000000003,23.5,12.15,1.08,906,48.7,normal,
1754212347278,16,25.25,23.5,12.15,1.09,899,49,normal,
1754212347378,17,25.35,23.450000000000003,12.15,1.1,907,48.900000000000006,normal,
1754212347478,18,25.400000000000002,23.5,12.13,1.05,903,49.2,normal,
1754212347578,19,25.5,23.55,12.15,1.09,908,49.7,normal,
1754212347678,20,25.700000000000003,23.5,12.16,1.08,898,49.400000000000006,normal,
1754212347778,21,25.75,23.55,12.14,1.11,897,49.800000000000004,normal,
1754212347878,22,25.85,23.5,12.14,1.09,895,50.2,normal,
1754212347978,23,25.950000000000003,23.5,12.14,1.09,908,50.1,normal,
1754212348078,24,26.1,23.5,12.14,1.11,910,50.7,normal,
1754212348178,25,26.150000000000002,23.5,12.14,1.1,913,51,normal,
1754212348278,26,26.3,23.55,12.13,1.1,902,50.900000000000006,normal,
1754212348378,27,26.450000000000003,23.5,12.13,1.12,906,51.7,normal,
1754212348478,28,26.5,23.5,12.14,1.1,910,50.900000000000006,normal,
1754212348578,29,26.6,23.55,12.14,1.1,907,52.300000000000004,normal,
1754212348678,30,26.75,23.450000000000003,12.14,1.12,902,52.400000000000006,normal,
1754212348778,31,26.900000000000002,23.5,12.13,1.1,893,52.300000000000004,normal,
1754212348878,32,27.05,23.5,12.13,1.12,900,52.5,normal,
1754212348978,33,27,23.5,12.13,1.12,911,52.6,normal,
1754212349078,34,27.200000000000003,23.5,12.120000000000001,1.12,904,53,normal,
1754212349178,35,27.25,23.5,12.13,1.1300000000000001,892,53.5,normal,
1754212349278,36,27.35,23.5,12.11,1.1300000000000001,893,53.7,normal,
1754212349378,37,27.5,23.55,12.11,1.1400000000000001,884,54,normal,
1754212349478,38,27.6,23.5,12.13,1.1500000000000001,886,54,normal,
1754212349578,39,27.650000000000002,23.5,12.120000000000001,1.1500000000000001,901,54.6,normal,
1754212349678,40,27.75,23.5,12.120000000000001,1.1400000000000001,902,54.400000000000006,normal,
1754212349778,41,27.900000000000002,23.55,12.11,1.17,896,54.7,normal,
1754212349878,42,27.950000000000003,23.5,12.13,1.16,896,55.1,normal,
1754212349978,43,28,23.5,12.120000000000001,1.17,882,55.2,normal,
1754212350078,44,28.25,23.5,12.120000000000001,1.16,899,55.1,normal,
1754212350178,45,28.35,23.5,12.120000000000001,1.18,885,55.6,normal,
1754212350278,46,28.450000000000003,23.55,12.13,1.17,906,55.7,normal,
1754212350378,47,28.55,23.5,12.11,1.18,903,55.6,normal,
1754212350478,48,28.55,23.5,12.13,1.17,899,55.800000000000004,normal,
1754212350578,49,28.75,23.450000000000003,12.13,1.17,897,56.6,normal,
1754212350678,50,28.900000000000002,23.5,12.13,1.19,899,56.800000000000004,normal,
1754212350778,51,28.900000000000002,23.5,12.120000000000001,1.19,904,57,normal,
1754212350878,52,29,23.5,12.120000000000001,1.17,900,56.7,normal,
1754212350978,53,29.200000000000003,23.5,12.1,1.19,900,56.300000000000004,normal,
1754212351078,54,29.3,23.5,12.11,1.21,891,57.2,normal,
